data,lp,src,ref,pos,neg,pos.model,neg.model,bestmodel
newstest2019,en-fi,Two of the tents were smaller.,Kaksi teltoista oli pienempiä.,Kaksi teltoista oli pienempiä.,Kaksi teltta oli pienempi.,online-B.0,HY-HNMT.4961,online-B.0
newstest2019,en-fi,Two of the tents were smaller.,Kaksi teltoista oli pienempiä.,Kaksi teltoista oli pienempiä.,Kaksi teltat olivat pienempiä.,online-B.0,online-G.0,online-B.0
newstest2019,en-fi,Two of the tents were smaller.,Kaksi teltoista oli pienempiä.,Kaksi telttaa oli pienempi.,Kaksi teltat olivat pienempiä.,TALP-UPC.4939,online-G.0,TALP-UPC.4939
newstest2019,en-fi,Two of the tents were smaller.,Kaksi teltoista oli pienempiä.,Kaksi telttaa oli pienempi.,Kaksi teltta oli pienempi.,TALP-UPC.4939,HY-HNMT.4961,TALP-UPC.4939
newstest2019,en-fi,"According to Karjalainen, there was a total of about 200 people inside the tents.",Karjalaisen mukaan teltoissa oli yhteensä noin 200 henkilöä.,Karjalainen mukaan oli yhteensä noin 200 ihmistä telttojen sisällä.,Mukaansa Karjalainen oli yhteensä noin 200 ihmistä teltan sisällä.,jhu-nmt-lattice-rescore.4903,HY-SMT.4882,jhu-nmt-lattice-rescore.4903
newstest2019,en-fi,"According to Karjalainen, there was a total of about 200 people inside the tents.",Karjalaisen mukaan teltoissa oli yhteensä noin 200 henkilöä.,Mukaan Karjalainen oli yhteensä noin 200 ihmistä sisällä teltoissa.,Mukaansa Karjalainen oli yhteensä noin 200 ihmistä teltan sisällä.,online-G.0,HY-SMT.4882,online-G.0
newstest2019,en-fi,"There was a show underway in one, bigger tent.",Yhdessä isommassa teltassa oli meneillään esitys.,Yhdessä isommassa teltassa oli käynnissä näyttely.,"Oli show käynnissä, isomman teltan.",online-B.0,jhu-pbmt.4968,online-B.0
newstest2019,en-fi,"There was a show underway in one, bigger tent.",Yhdessä isommassa teltassa oli meneillään esitys.,Siellä oli show käynnissä yksi isompi teltta.,"Oli show käynnissä, isomman teltan.",HY-SMT.4882,jhu-pbmt.4968,HY-SMT.4882
newstest2019,en-fi,"He also loves playing with his two brothers, and singing.",Lisäksi hän rakastaa leikkiä kahden veljensä kanssa sekä laulaa.,Hän myös rakastaa pelaamista kahden veljensä kanssa ja laulaa.,Hän rakastaa myös hänen kaksi veljeään leikkii ja laulaa.,HY-HNMT.4961,HY-SMT.4882,HY-HNMT.4961
newstest2019,en-fi,"He also loves playing with his two brothers, and singing.",Lisäksi hän rakastaa leikkiä kahden veljensä kanssa sekä laulaa.,Hän myös rakastaa pelaamista kahden veljensä kanssa ja laulaa.,"Hän myös rakastaa leikkiä hänen kaksi veljestä, ja laulaa.",HY-HNMT.4961,jhu-pbmt.4968,HY-HNMT.4961
newstest2019,en-fi,"He also loves playing with his two brothers, and singing.",Lisäksi hän rakastaa leikkiä kahden veljensä kanssa sekä laulaa.,"Hän myös rakastaa leikkiä hänen kaksi veljestä, ja laulaa.",Lisäksi hän rakastaa kahdella veljellä ja laulusta.,jhu-pbmt.4968,TALP-UPC.4939,jhu-pbmt.4968
newstest2019,en-fi,"He also loves playing with his two brothers, and singing.",Lisäksi hän rakastaa leikkiä kahden veljensä kanssa sekä laulaa.,Hän myös rakastaa pelaamista kahden veljensä kanssa ja laulaa.,Lisäksi hän rakastaa kahdella veljellä ja laulusta.,HY-HNMT.4961,TALP-UPC.4939,HY-HNMT.4961
newstest2019,en-fi,"He also loves playing with his two brothers, and singing.",Lisäksi hän rakastaa leikkiä kahden veljensä kanssa sekä laulaa.,"Hän myös rakastaa leikkii hänen kaksi veljeään, ja laulaa.",Hän rakastaa myös hänen kaksi veljeään leikkii ja laulaa.,online-G.0,HY-SMT.4882,online-G.0
newstest2019,en-fi,"He also loves playing with his two brothers, and singing.",Lisäksi hän rakastaa leikkiä kahden veljensä kanssa sekä laulaa.,"Hän myös rakastaa leikkii hänen kaksi veljeään, ja laulaa.",Lisäksi hän rakastaa kahdella veljellä ja laulusta.,online-G.0,TALP-UPC.4939,online-G.0
newstest2019,en-fi,"Edmund didn't sit up or crawl until he was three, and he still doesn't talk.","Edmund ei istunut tai ryöminyt kuin vasta kolmevuotiaana, eikä hän puhu vieläkään.","Edmund ei istu tai rämmimme ennen kuin hän oli kolme, ja hän ei vieläkään puhu.","Edumnand ei istunut istuntosalissa tai raunioissa, ennen kuin hän oli kolme, eikä hän edelleenkään puhu.",jhu-nmt-lattice-rescore.4903,TALP-UPC.4939,jhu-nmt-lattice-rescore.4903
newstest2019,en-fi,"Edmund didn't sit up or crawl until he was three, and he still doesn't talk.","Edmund ei istunut tai ryöminyt kuin vasta kolmevuotiaana, eikä hän puhu vieläkään.","Edmund ei istuisi tai irtisanoutunut, ennen kuin hän oli kolme, eikä hän vieläkään puhu.","Edumnand ei istunut istuntosalissa tai raunioissa, ennen kuin hän oli kolme, eikä hän edelleenkään puhu.",AaltoHnmtMultitask.4873,TALP-UPC.4939,AaltoHnmtMultitask.4873
newstest2019,en-fi,"""My first response was 'I didn't think people did that anymore,'"" Picciuto explained.","”Ensireaktioni oli, että ’en tiennyt ihmisten yhä tekevän sitä’”, Picciuto selitti.","""Ensimmäinen vastaukseni oli, että"" en usko, että ihmiset sitä enää tekivät "", Picciuto selitti.",""" ensin seuraus olen ""do et pitää kansa on että enää"","" Picciuto selittää.",online-B.0,apertium-unconstrained.4769,online-B.0
newstest2019,en-fi,"""My first response was 'I didn't think people did that anymore,'"" Picciuto explained.","”Ensireaktioni oli, että ’en tiennyt ihmisten yhä tekevän sitä’”, Picciuto selitti.","""Ensimmäinen vastaukseni oli, että"" en usko, että ihmiset sitä enää tekivät "", Picciuto selitti.","""Ensimmäinen reaktio oli"" minä vastaan, että ihmiset eivät enää ""Picciuto selitti.",online-B.0,jhu-pbmt.4968,online-B.0
newstest2019,en-fi,"""My first response was 'I didn't think people did that anymore,'"" Picciuto explained.","”Ensireaktioni oli, että ’en tiennyt ihmisten yhä tekevän sitä’”, Picciuto selitti.","""Ensimmäinen vastaukseni oli, että"" en usko, että ihmiset sitä enää tekivät "", Picciuto selitti.","""Ensimmäinen vastaukseni oli silloin, kun ajattelin, että ihmiset enää selittivät ihmisiä.",online-B.0,TALP-UPC.4939,online-B.0
newstest2019,en-fi,"""My first response was 'I didn't think people did that anymore,'"" Picciuto explained.","”Ensireaktioni oli, että ’en tiennyt ihmisten yhä tekevän sitä’”, Picciuto selitti.","""Minun ensimmäinen vastaus oli 'en uskonut, että ihmiset eivät enää'"" Hauke selitti.",""" ensin seuraus olen ""do et pitää kansa on että enää"","" Picciuto selittää.",online-G.0,apertium-unconstrained.4769,online-G.0
newstest2019,en-fi,"""My first response was 'I didn't think people did that anymore,'"" Picciuto explained.","”Ensireaktioni oli, että ’en tiennyt ihmisten yhä tekevän sitä’”, Picciuto selitti.","""Minun ensimmäinen vastaus oli 'en uskonut, että ihmiset eivät enää'"" Hauke selitti.","""Ensimmäinen vastaukseni oli silloin, kun ajattelin, että ihmiset enää selittivät ihmisiä.",online-G.0,TALP-UPC.4939,online-G.0
newstest2019,en-fi,"""My first response was 'I didn't think people did that anymore,'"" Picciuto explained.","”Ensireaktioni oli, että ’en tiennyt ihmisten yhä tekevän sitä’”, Picciuto selitti.","""Ensimmäinen reaktio oli"" minä vastaan, että ihmiset eivät enää ""Picciuto selitti.","""Ensimmäinen vastaukseni oli silloin, kun ajattelin, että ihmiset enää selittivät ihmisiä.",jhu-pbmt.4968,TALP-UPC.4939,jhu-pbmt.4968
newstest2019,en-fi,"Starring: Emma Suarez, Adriana Ugarte, Rossy de Palma, Daniel Grao, Dario Grandinetti.","Pääosissa: Emma Suarez, Adriana Ugarte, Rossy de Palma, Daniel Grao, Dario Grandinetti.","Pääosissa: Emma Suarez, Adriana Ugarte, Ota de Palma, Daniel Grao, Dario Grandinetti.",Grandinetti. filmi aikoo on vapauttaa päälle elokuu 12.,online-G.0,apertium-unconstrained.4769,online-G.0
newstest2019,en-fi,"Starring: Emma Suarez, Adriana Ugarte, Rossy de Palma, Daniel Grao, Dario Grandinetti.","Pääosissa: Emma Suarez, Adriana Ugarte, Rossy de Palma, Daniel Grao, Dario Grandinetti.","Starring: Emma Suarez, Adriana Ugarte, Rossy de Palma, Daniel Grao, Dario Grandinetti.",Grandinetti. filmi aikoo on vapauttaa päälle elokuu 12.,HY-HNMT.4961,apertium-unconstrained.4769,HY-HNMT.4961
newstest2019,en-fi,"Police say the triple killing doesn't appear to have been the result of a robbery because the attacker didn't take purses or $2,900 in the possession of one of the adult victims.","Poliisin mukaan kolmoissurma ei vaikuta olleen ryöstön tulos, sillä hyökkääjä ei vienyt käsilaukkuja tai toisella aikuisella uhrilla ollutta 2900 dollaria.","Poliisi sanoo kolminkertaisen tappamisen ei ilmesty olla ollut rosvouksen tulosta koska hyökkääjän ei ottanut kukkaroja tai $2,900 hallussa yhdestä aikuisen uhrien.","Poliisi sanoo, että kolminkertainen tappaminen on vaikuttanut ryöstön seurauksena, koska hyökkääjät hyppäsivät lompakkoon tai 2 000 Yhdysvaltain dollarin uhriksi.",HY-AH.4797,AaltoHnmtFlatcat.4798,HY-AH.4797
newstest2019,en-fi,"Police say the triple killing doesn't appear to have been the result of a robbery because the attacker didn't take purses or $2,900 in the possession of one of the adult victims.","Poliisin mukaan kolmoissurma ei vaikuta olleen ryöstön tulos, sillä hyökkääjä ei vienyt käsilaukkuja tai toisella aikuisella uhrilla ollutta 2900 dollaria.","Poliisi sanoo kolminkertaisen tappamisen ei ilmesty olla ollut rosvouksen tulosta koska hyökkääjän ei ottanut kukkaroja tai $2,900 hallussa yhdestä aikuisen uhrien.","Poliisin kolme tappamista ei ilmeisesti ollut seurausta ryöstöstä, koska hyökkääjä ei vie kukkaroista tai 2,900 dollaria hallussaan yhden aikuisten uhreista.",HY-AH.4797,jhu-nmt-lattice-rescore.4903,HY-AH.4797
newstest2019,en-fi,"""It's occurring within a residential area in front of a home,"" Howard said to CBS affiliate KPHO earlier this month.","”Nämä tapahtuvat asuinalueella kodin edessä”, Howard sanoi aiemmin tässä kuussa CBS:n tytäryhtiö KPHO:lle.","""Se tapahtuu asuinalueella edessä kotiin"" Howard sanoi CBS affiliate KPHO aiemmin tässä kuussa.",Howard sanoi CHS: Sta Kuhan KFHO: Sta Kahdessa aiemmin tässä kuussa.,online-A.0,AaltoHnmtFlatcat.4798,online-A.0
newstest2019,en-fi,"""It's occurring within a residential area in front of a home,"" Howard said to CBS affiliate KPHO earlier this month.","”Nämä tapahtuvat asuinalueella kodin edessä”, Howard sanoi aiemmin tässä kuussa CBS:n tytäryhtiö KPHO:lle.","""Se tapahtuu asuinalueella kodin edessä"", Howard sanoi CBS: n tytäryhtiö KPHO: lle aiemmin tässä kuussa.","""Se on asuinalueen sisällä kodin eteen"", Howard sanoi CBS - affiliate KPHO aiemmin tässä kuussa.",online-B.0,HY-SMT.4882,online-B.0
newstest2019,en-fi,"""It's occurring within a residential area in front of a home,"" Howard said to CBS affiliate KPHO earlier this month.","”Nämä tapahtuvat asuinalueella kodin edessä”, Howard sanoi aiemmin tässä kuussa CBS:n tytäryhtiö KPHO:lle.","""Se tapahtuu asuinalueella kodin edessä"", Howard sanoi CBS: n tytäryhtiö KPHO: lle aiemmin tässä kuussa.",Howard sanoi CHS: Sta Kuhan KFHO: Sta Kahdessa aiemmin tässä kuussa.,online-B.0,AaltoHnmtFlatcat.4798,online-B.0
newstest2019,en-fi,"""It's occurring within a residential area in front of a home,"" Howard said to CBS affiliate KPHO earlier this month.","”Nämä tapahtuvat asuinalueella kodin edessä”, Howard sanoi aiemmin tässä kuussa CBS:n tytäryhtiö KPHO:lle.","”Se tapahtuu asuinalueen kodin edessä”, Howard sanoi CBS CBS KPHO aiemmin tässä kuussa.","""Se on asuinalueen sisällä kodin eteen"", Howard sanoi CBS - affiliate KPHO aiemmin tässä kuussa.",AaltoHnmtMultitask.4873,HY-SMT.4882,AaltoHnmtMultitask.4873
newstest2019,en-fi,"""It's occurring within a residential area in front of a home,"" Howard said to CBS affiliate KPHO earlier this month.","”Nämä tapahtuvat asuinalueella kodin edessä”, Howard sanoi aiemmin tässä kuussa CBS:n tytäryhtiö KPHO:lle.","""Se on tapahtumassa asuinalue kodin edessä"", Howard sanoi CBS liittolainen KPHO aiemmin tässä kuussa.","""Se on asuinalueen sisällä kodin eteen"", Howard sanoi CBS - affiliate KPHO aiemmin tässä kuussa.",jhu-nmt-lattice-rescore.4903,HY-SMT.4882,jhu-nmt-lattice-rescore.4903
newstest2019,en-fi,"""It's occurring within a residential area in front of a home,"" Howard said to CBS affiliate KPHO earlier this month.","”Nämä tapahtuvat asuinalueella kodin edessä”, Howard sanoi aiemmin tässä kuussa CBS:n tytäryhtiö KPHO:lle.","""Se on tapahtumassa asuinalue kodin edessä"", Howard sanoi CBS liittolainen KPHO aiemmin tässä kuussa.",Howard sanoi CHS: Sta Kuhan KFHO: Sta Kahdessa aiemmin tässä kuussa.,jhu-nmt-lattice-rescore.4903,AaltoHnmtFlatcat.4798,jhu-nmt-lattice-rescore.4903
newstest2019,en-fi,"""It's occurring within a residential area in front of a home,"" Howard said to CBS affiliate KPHO earlier this month.","”Nämä tapahtuvat asuinalueella kodin edessä”, Howard sanoi aiemmin tässä kuussa CBS:n tytäryhtiö KPHO:lle.","”Se tapahtuu asuinalueen kodin edessä”, Howard sanoi CBS CBS KPHO aiemmin tässä kuussa.",Howard sanoi CHS: Sta Kuhan KFHO: Sta Kahdessa aiemmin tässä kuussa.,AaltoHnmtMultitask.4873,AaltoHnmtFlatcat.4798,AaltoHnmtMultitask.4873
newstest2019,en-fi,"The suspect is believed to have used several vehicles, including as a late-1990s brown Nissan, a late-1990s black BMW and a white Cadillac or Lincoln.","Epäillyn uskotaan käyttäneen useita kulkuneuvoja, kuten 1990-luvun loppupuolen ruskeaa Nissania, 1990-luvun loppupuolen mustaa BMW:tä sekä valkoista Cadillacia tai Lincolnia.","Epäillyn uskotaan käyttäneen useita ajoneuvoja, mukaan lukien 1990-luvun lopulla ruskea Nissan, musta 1990-luvun BMW-merkki ja valkoinen Cadillac tai Lincoln.","Epäillyn uskotaan käyttäneen useita ajoneuvoja, myös 1990-luvun lopussa ruskea Nissan, 1990-luvun lopussa BMW ja mustavalkoinen Cadillac ja Lincoln.",online-B.0,HY-SMT.4882,online-B.0
newstest2019,en-fi,"The suspect is believed to have used several vehicles, including as a late-1990s brown Nissan, a late-1990s black BMW and a white Cadillac or Lincoln.","Epäillyn uskotaan käyttäneen useita kulkuneuvoja, kuten 1990-luvun loppupuolen ruskeaa Nissania, 1990-luvun loppupuolen mustaa BMW:tä sekä valkoista Cadillacia tai Lincolnia.","Epäillyn uskotaan käyttäneet useita ajoneuvoja, kuten myöhään 1990-luvulla ruskea Nissan, myöhään 1990-luvun musta BMW ja valkoinen Cadillac tai Lincoln.","Epäillyn uskotaan käyttäneen useita ajoneuvoja, myös 1990-luvun lopussa ruskea Nissan, 1990-luvun lopussa BMW ja mustavalkoinen Cadillac ja Lincoln.",jhu-nmt-lattice-rescore.4903,HY-SMT.4882,jhu-nmt-lattice-rescore.4903
newstest2019,en-fi,"The suspect is believed to have used several vehicles, including as a late-1990s brown Nissan, a late-1990s black BMW and a white Cadillac or Lincoln.","Epäillyn uskotaan käyttäneen useita kulkuneuvoja, kuten 1990-luvun loppupuolen ruskeaa Nissania, 1990-luvun loppupuolen mustaa BMW:tä sekä valkoista Cadillacia tai Lincolnia.","Epäillyn uskotaan on käytetty useita ajoneuvoja, mukaan lukien 1990-luvun lopulla ruskea Nissan, 1990-luvun lopulla musta BMW ja valkoinen Cadillac tai Lincoln.","Epäillyn uskotaan käyttäneen useita ajoneuvoja, myös 1990-luvun lopussa ruskea Nissan, 1990-luvun lopussa BMW ja mustavalkoinen Cadillac ja Lincoln.",online-G.0,HY-SMT.4882,online-G.0
newstest2019,en-fi,Investigators have declined to reveal the evidence that led them to conclude the attacks are related and committed by the same killer.,"Tutkijat eivät ole suostuneet paljastamaan todistusaineistoa, joka johti päätelmään, että hyökkäykset liittyvät toisiinsa ja ovat saman tappajan tekemiä.","Tutkijat ovat kieltäytyneet paljastamasta todisteita, jotka johtivat siihen, että iskut tehdään ja että samalla tappaja syyllistyy siihen.","Tutkijat ovat laskeneet paljastaa todisteita, jotka saivat heidät tekemään iskut liittyvät toisiinsa ja sama tappaja.",AaltoHnmtFlatcat.4798,jhu-pbmt.4968,AaltoHnmtFlatcat.4798
newstest2019,en-fi,Investigators have declined to reveal the evidence that led them to conclude the attacks are related and committed by the same killer.,"Tutkijat eivät ole suostuneet paljastamaan todistusaineistoa, joka johti päätelmään, että hyökkäykset liittyvät toisiinsa ja ovat saman tappajan tekemiä.","Tutkijat ovat vähentyneet paljastaa näyttöä siitä, että siihen tulokseen hyökkäykset liittyvät ja syyllistyneet sama tappaja.","Tutkijat ovat laskeneet paljastaa todisteita, jotka saivat heidät tekemään iskut liittyvät toisiinsa ja sama tappaja.",online-A.0,jhu-pbmt.4968,online-A.0
newstest2019,en-fi,Jumppanen was born in 1967 in the town of Elizabeth near new York.,Jumppanen syntyi vuonna 1967 lähellä New Yorkia Elizabethin kaupungissa.,Jumppanen syntyi vuonna 1967 Elizabethin kaupungissa lähellä New Yorkissa.,Jumppanen syntyi vuonna 1967 kaupungissa Elizabeth lähellä New York.,HY-SMT.4882,jhu-pbmt.4968,HY-SMT.4882
newstest2019,en-fi,Jumppanen was born in 1967 in the town of Elizabeth near new York.,Jumppanen syntyi vuonna 1967 lähellä New Yorkia Elizabethin kaupungissa.,Jumppanen syntyi vuonna 1967 Elizabethin kaupungissa lähellä uutta Yorkia.,Jumppanen syntyi vuonna 1967 kaupungissa Elizabeth lähellä New York.,AaltoHnmtFlatcat.4798,jhu-pbmt.4968,AaltoHnmtFlatcat.4798
newstest2019,en-fi,Floorball was played as a hobby in the university.,Sählyä pelattiin yliopistossa.,Salibandyn pelattiin harrastuksena yliopistossa.,Salibandy oli pelannut harrastuksena yliopistossa.,online-A.0,online-G.0,online-A.0
newstest2019,en-fi,"I used to play basketball in Kataja, and then later Finnish national league ice hockey in Jokipojat, Jumppanen remembers.","Pelasin Katajassa koripalloa ja myöhemmin Jokipojissa jääkiekkoa SM-sarjassa, Jumppanen muistaa.","Käytin pelata koripallo Kataja, ja sitten myöhemmin suomen national league ice hockey Jokipojat, Jumppanen muistelee.","Jumppanen pelaa floorball sisällä suomalainen kansalainen liiga sisällä 1991-92 sisällä yliopisto klubi, ja takaa-ajo ensivuonna olen kuluu sisällä Josba.",online-G.0,apertium-unconstrained.4769,online-G.0
newstest2019,en-fi,"But Mr. Dooley, 28, of Lake Forest, Calif., is competing for the gold in Olympic trampoline.","Mutta Kalifornian Lake Forestista kotoisin oleva Dooley, 28, kilpailee olympiakullasta trampoliinissa.","Mutta Mr. Dooley, 28, Lake Forest, Calif., kilpailee myös kultaa olympialaisten Trampoliini.",Olympic tuli tekee et illuminate tulos tasan.,jhu-pbmt.4968,apertium-unconstrained.4769,jhu-pbmt.4968
newstest2019,en-fi,The Olympic flame does not illuminate each event equally.,Olympialiekki ei valaise kaikkia lajeja yhtä paljoa.,Olympiatuli ei valaise kutakin tapahtumaa samoin.,Olympic liekki ei paljasta jokaista tapahtumaa tasaisesti.,HY-AH.4797,online-B.0,HY-AH.4797
newstest2019,en-fi,"But if I may make a modest case for my particular favorite, let me call attention to the discreet charm of the trampoline.","Mutta jos saan tehdä kohtalaisen numeron erityissuosikistani, haluaisin kiinnittää huomion trampoliinin hillittyyn viehätysvoimaan.","Jos kuitenkin haluan esittää vaatimattoman tapaukseni erityisesti omasta puolestani, haluaisin kiinnittää huomionne traumaperäiseen viehätysvoimain.","Mutta jos suositukseni on vaatimaton, sallikaa minun kuitenkin kiinnittää huomiota kampanjan hienovaraisuuteen.",AaltoHnmtFlatcat.4798,TALP-UPC.4939,AaltoHnmtFlatcat.4798
newstest2019,en-fi,"Despite sending athletes to compete, the United States has never won a medal in trampoline and did not have an athlete advance to the finals until 2012.","Vaikka Yhdysvallat on lähettänyt urheilijoita kilpailemaan lajissa, se ei ole koskaan voittanut siinä mitalia, eikä sen urheilija edennyt finaaliin asti ennen kuin vuonna 2012.","Vaikka urheilijat kilpailemaan, Yhdysvallat ei ole koskaan voittanut mitalia ja trampoliinilla ei ollut urheilija finaaliin eteneminen vuoteen 2012 asti.","Vaikka urheilijat kilpailemaan, Yhdysvallat ei ole koskaan voittanut mitalia, Trampoliini ja ei ollut urheilija ennen kuin finaalit vuoteen 2012 asti.",HY-SMT.4882,jhu-pbmt.4968,HY-SMT.4882
newstest2019,en-fi,"Despite sending athletes to compete, the United States has never won a medal in trampoline and did not have an athlete advance to the finals until 2012.","Vaikka Yhdysvallat on lähettänyt urheilijoita kilpailemaan lajissa, se ei ole koskaan voittanut siinä mitalia, eikä sen urheilija edennyt finaaliin asti ennen kuin vuonna 2012.","Vaikka urheilijat kilpailemaan, Yhdysvallat ei ole koskaan voittanut mitalia ja trampoliinilla ei ollut urheilija finaaliin eteneminen vuoteen 2012 asti.","Huolimatta lähettää urheilijoita kilpailemaan, yhdysvallat ei ole koskaan voittanut mitalin trampoliini ja ei ole urheilija edetä finaaliin asti 2012.",HY-SMT.4882,online-G.0,HY-SMT.4882
newstest2019,en-fi,I'm very pleased for it to have happened at Newmarket because this is where I landed 30 years ago.,"Olen hyvin tyytyväinen, että tämä tapahtui Newmarketissa, koska täällä aloitin 30 vuotta sitten.","Olen hyvin iloinen siitä, että se on käynyt Newmarketissa, koska tämä on rantautunut 30 vuotta sitten.","Olen iloinen, että se on tapahtunut Newmarket, koska tämä on ajanut 30 vuotta sitten.",AaltoHnmtMultitask.4873,jhu-pbmt.4968,AaltoHnmtMultitask.4873
